S3 Table. Full list of DEGs identified in vEDS patients' skin fibroblasts.						
Column #	Transcript ID	gene_assignment	Gene Symbol	RefSeq	p-value adjusted (FDR 5%)	Fold-Change 
26298	8117225	"NM_001251989 // GMNN // geminin, DNA replication inhibitor // 6p22.3 // 51053 /// NM_00"	GMNN	NM_001251989	0.000169152	-2.09252
27057	8124413	"NM_003539 // HIST1H4D // histone cluster 1, H4d // 6p22.2 // 8360 /// ENST00000614247 /"	HIST1H4D	NM_003539	1.50E-05	-2.0918
30729	8159004	"NR_002447 // SNORD24 // small nucleolar RNA, C/D box 24 // 9q34 // 26820 /// ENST000003"	SNORD24	NR_002447	0.00294933	-2.08252
6750	7922408	"NR_003944 // SNORD78 // small nucleolar RNA, C/D box 78 // 1q25.1 // 692198 /// uc009ww"	SNORD78	NR_003944	7.36E-09	-2.07985
17405	8029368	NM_001037813 // ZNF284 // zinc finger protein 284 // 19q13.31 // 342909 /// XM_00525885	ZNF284	NM_001037813	2.61E-06	-2.07187
24182	8097356	NM_001190799 // PLK4 // polo-like kinase 4 // 4q28 // 10733 /// NM_001190801 // PLK4 //	PLK4	NM_001190799	0.00565477	-2.06584
22874	8083941	NM_001258315 // ECT2 // epithelial cell transforming 2 // 3q26.1-q26.2 // 1894 /// NM_0	ECT2	NM_001258315	0.00278245	-2.06519
20187	8056693	NM_001281476 // FASTKD1 // FAST kinase domains 1 // 2q31 // 79675 /// NM_024622 // FAST	FASTKD1	NM_001281476	0.000138122	-2.06474
12965	7983306	NM_001167941 // WDR76 // WD repeat domain 76 // 15q15.3 // 79968 /// NM_024908 // WDR76	WDR76	NM_001167941	0.000591136	-2.04899
28634	8139737	NM_004577 // PSPH // phosphoserine phosphatase // 7p11.2 // 5723 /// XM_005271773 // PS	PSPH	NM_004577	0.000371231	-2.04053
4630	7901010	NM_001297655 // KIF2C // kinesin family member 2C // 1p34.1 // 11004 /// NM_001297656 /	KIF2C	NM_001297655	0.00123439	-2.0318
27378	8127534	NM_138441 // MB21D1 // Mab-21 domain containing 1 // 6q13 // 115004 /// XM_006715327 //	MB21D1	NM_138441	5.97E-05	-2.03052
29112	8144153	NM_001281932 // NCAPG2 // non-SMC condensin II complex subunit G2 // 7q36.3 // 54892 //	NCAPG2	NM_001281932	0.000684875	-2.02691
10977	7964271	"NM_000946 // PRIM1 // primase, DNA, polypeptide 1 (49kDa) // 12q13 // 5557 /// ENST0000"	PRIM1	NM_000946	0.00056291	-2.02641
6751	7922410	"NR_002750 // SNORD44 // small nucleolar RNA, C/D box 44 // 1q25.1 // 26806 /// ENST0000"	SNORD44	NR_002750	2.97E-05	-2.02629
